id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
2465157,757.0,6.6293632534374485,54.07142857142857,Entire home/apt,Entire rental unit,14,4.0,11.0,2.0,17,4.06,0.0,195,4,december,Pinzolo,22143,547.1465887116744,8202.33983076237,1846.539401376423,8145.962543738462,225.65037111623843,4231.3324476134585,66.03277356161823,261.9747924409011,220.5449674586584,1774.7046155889839,10481.495714735,409.47767423479326,46.24496,10.83889
2471403,66.0,4.189654742026425,33.0,Private room,Private room in condo,2,1.0,1.0,1.0,41,4.76,1.0,204,2,december,Cles,22062,8389.697214922626,13518.010510752249,325.7795920335334,677.9252089238902,624.3450829607335,4474.338366255415,321.75540910900867,425.3009190828059,389.13517975773834,539.1474917450437,383.3434263338281,3393.9177033400942,46.37028,11.03626
2475095,155.0,5.043425116919247,25.833333333333332,Entire home/apt,Entire rental unit,6,2.0,5.0,1.0,20,4.8,0.0,264,7,december,Comano Terme,22228,10473.583348493461,6127.217061369434,1199.5048061178886,14629.294519620822,172.6945657153827,3412.5227604839797,1052.9434958713568,1758.6837050996883,2297.7786849606614,2232.443805762809,700.7803957900144,2412.322452811981,46.01444,10.86758
2487685,100.0,4.605170185988092,25.0,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,76,4.88,0.0,243,3,december,Ronzo-Chienis,22135,11615.974200580447,6051.016742632997,187.06984387579465,5257.60737123727,112.27767284860879,1232.8165704570195,128.3200385881338,176.40786388973436,720.4499470001897,359.11454767677014,3004.222445355685,4673.568930998795,45.88972,10.9483
2541767,130.0,4.867534450455582,26.0,Entire home/apt,Entire condo,5,2.0,3.0,1.0,86,4.92,1.0,303,2,december,Castello-Molina di Fiemme,22047,2192.0164326936706,17645.3792432688,61.81266738064342,25177.62855864712,164.04690746349343,6229.1606658074425,159.96842547564543,331.699068682445,643.7840973210107,37.675623286332595,17792.31182869939,2023.5400072170498,46.28185,11.4367
726936,276.0,5.62040086571715,69.0,Entire home/apt,Entire rental unit,4,1.0,3.0,1.0,1,4.0,0.0,66,7,december,Mezzana,22114,738.6584867759173,12459.63300881313,480.2604658152562,246.2761913052585,62.455417247502275,836.3918100546828,68.52743383821199,115.62791881075067,98.99950819508885,131.69861944875208,5105.167262274967,6621.028777419439,46.3154,10.80315
727295,1023.0,6.930494765951626,93.0,Entire home/apt,Entire cabin,11,4.0,7.0,2.0,5,5.0,0.0,323,7,december,Tesero,22196,3152.8977154968666,18103.154622725502,3508.4829999227486,29922.149894050952,79.10772474869728,3915.4340693039017,3191.4591103978823,81.90221362491127,3415.8957112077946,4511.551203308604,24397.050631721737,299.73411507559274,46.32026,11.50228
733477,350.0,5.857933154483459,50.0,Entire home/apt,Entire cabin,7,3.0,5.0,1.5,56,4.75,1.0,282,3,december,Cavalese,22050,31.96549617072554,11683.262129955232,4238.535700660994,22273.716965921645,3407.3831312911493,2183.1329308581935,3525.1780382006386,1028.64595077642,3837.162583334736,5363.462436295238,20658.499393637176,5570.634919397562,46.25138,11.50229
740209,264.0,5.575949103146316,66.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,137,4.7,1.0,56,4,december,Moena,22118,2256.9574409584707,22768.288719118864,153.45361002650404,37694.81175892904,150.0117153471997,3731.2890215276648,216.08579859347972,134.3183814976674,151.4686720255697,159.04059175501868,25649.778559372855,289.9229725323001,46.37484,11.66012
745668,130.0,4.867534450455582,26.0,Entire home/apt,Entire rental unit,5,2.0,3.0,1.0,29,4.83,0.0,323,2,december,Peio,22136,1183.1686086399507,23556.753988928718,1614.72178638932,11089.321513779492,113.05047681258509,2051.011291840624,1423.5791440044948,434.2152650288053,1337.9194871989796,1891.1803013752872,7665.160270510865,397.92988550329125,46.36343,10.67674
