id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
1476557392085624029,200.0,5.298317366548036,33.333333333333336,Entire home/apt,6,0,Rabbi,22150,9046.534555400463,1920.7211489392753,7477.048440353606,7623.99354987164,100.48164798761543,4195.15264635046,118.90997011833136,106.28743879595847,2798.512856554234,133.9065914776737,8654.909590856896,7397.924672095253,46.40036756661196,10.844608309053816
1476656107932706690,812.0,6.699500340161678,203.0,Entire home/apt,4,0,Pinzolo,22143,1146.2835670715388,245.26110216027806,1260.821210153545,14280.469786414615,201.0084666769891,4199.657597563052,1013.2120775480183,1178.8396246715906,16.51242259785682,3017.314949217326,13822.295574723104,2826.319529909565,46.186186245845406,10.776555761876354
1476665113084204562,812.0,6.699500340161678,203.0,Entire home/apt,4,0,Pinzolo,22143,1169.369925262739,227.36015337539496,1272.4094216634876,14257.724177316795,239.1210820777555,4185.458378988221,1028.422855203981,1193.2588810732493,51.129351274807284,3034.654327323432,13788.495206941867,2818.274870651184,46.18643248970656,10.77613845889002
1476726824993776348,80.0,4.382026634673881,40.0,Entire home/apt,2,0,Cavalese,22050,697.4470322370387,684.0015679745524,292.726020236221,14762.535845953433,291.8387267063401,4517.59702895781,333.57214700811494,493.3817000523773,280.9565577211213,604.0660604810806,12440.229059558085,615.3578653411945,46.2865,11.45588
1476774383697267227,307.0,5.726847747587197,76.75,Entire home/apt,4,3,Riva del Garda,22153,12001.415329980013,261.69132448820875,420.05431217558646,1455.645965651726,294.10913273577927,2796.506345461124,261.9589012514702,199.56591810021405,231.8348798290947,270.28520045152766,1088.81224444806,1117.9091506806617,45.88432,10.85664
1476780014062613637,120.0,4.787491742782046,24.0,Entire home/apt,5,2,Panchià,22134,4668.386480767118,546.8935699147275,1953.8568131349662,20179.87775893123,325.6397989637251,2422.485699290516,1363.900252874101,969.9814101501912,460.74319996749637,5743.151614870055,18276.48812994748,4309.057429263462,46.28690625457002,11.536391526460648
1476927957711966105,113.0,4.727387818712341,22.6,Entire home/apt,5,0,Lavarone,22102,1088.0205858084762,854.819950482516,164.01318267195873,6372.6257310089195,185.72175422201394,1424.5122297469568,732.7891574353563,323.1612502160825,367.0483181165004,183.0898637354072,5460.069501468828,326.81322782129394,45.9401198,11.2674284
1477330366719658495,150.0,5.0106352940962555,75.0,Entire home/apt,2,0,Nago-Torbole,22124,10417.453102934742,279.22392796111427,387.1496837061924,3353.663198233311,488.3927576347599,2687.7983455382796,472.31209901819346,223.30382784093965,535.4833420733023,528.403075709396,553.8423726486199,3046.129638902055,45.87509,10.87909
1477380820416691248,126.0,4.836281906951478,18.0,Entire home/apt,7,1,Trento,22205,1640.7979289618015,937.9861208337949,1546.6294450504774,3092.882110836944,104.20953197835878,2278.6491455880087,1902.7793828485437,218.60246751359054,1544.8744946864358,2081.1329392785406,3155.396681872258,2480.388590949701,46.06332,11.08145
1477381904193079109,93.0,4.532599493153256,23.25,Entire home/apt,4,2,Baselga di Pinè,22009,9401.65468669666,951.1786368483491,57.266381733411805,6664.257586554121,235.99908822856892,3955.5163172536054,944.936507972884,637.5649063329213,832.4731956152306,1038.480821833839,1199.8434394940123,2678.0116754361366,46.12278640351055,11.237253979424697
1477453579620454217,135.0,4.90527477843843,27.0,Entire home/apt,5,0,Ledro,22229,14003.139258878682,334.42925710083676,1212.9261279759844,8684.400536238205,124.88049741393917,1664.952134549071,61.30346053268025,270.7564873559234,805.374224120101,1284.8236022314456,7441.175638613387,743.9588095782367,45.89928549695311,10.726110264658928
1477477264048337713,111.0,4.709530201312334,37.0,Entire home/apt,3,2,Trento,22205,535.4786889547979,122.8217555820717,94.4952859830995,339.3756265097441,46.00403282610373,1333.5651082355469,46.47431883965595,62.80507282962508,32.51780502393587,57.839228559473156,264.18932802797553,298.321556800757,46.070134,11.122493
1477554054467246181,95.0,4.553876891600541,23.75,Private room,4,1,Ziano di Fiemme,22226,5130.306358139328,1.3583036691990484,687.4079241119725,21598.048449139707,413.5900803816227,2725.825948352504,179.0599214040348,2331.118229996356,262.3858608576352,4713.030003361052,19731.83899012745,4795.701443869828,46.2848,11.55515
1477679891513717251,148.0,4.997212273764115,24.666666666666668,Entire home/apt,6,3,Vallelaghi,22248,3334.697613158037,1102.4941491988072,1497.3719641897537,4952.0259699964045,200.56496170974378,2592.9930328217038,1323.2913501778507,458.55499826232455,207.4561713368011,4280.6802276448825,1114.970569059104,4311.201059118351,46.10958,11.04059
