id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1213093763213526089,Appartamento Terlago,555664095,Holidu,,Trentino,46.098556021688815,11.046938162712578,Entire home/apt,79,1,0,,,15,362,0,IT022248B4PGRV4IEM
1213155727957898452,8 posti -Dimora Il Feudo Predazzo Val di Fiemme,212970510,Davide,,Trentino,46.3108528,11.599134,Entire home/apt,412,3,4,2024-08-25,0.82,1,205,4,IT022147C26ZE7FX8V
1213165625081312881,Rione Villa Guesthouse,74079811,Carmen,,Trentino,45.9677618,10.9456414,Entire home/apt,70,2,6,2024-12-27,1.61,2,288,6,IT022078C2BKTM8YHX
1213455813622035403,Eco del garda 305,568349005,Holidu,,Trentino,45.930241667586294,10.82024498374527,Entire home/apt,217,1,1,2024-09-11,0.27,39,363,1,IT022191B4C3NBOJK7
1213511715294065687,Appartamento Il Sorbo a Moena,22268438,Margherita,,Trentino,46.37603,11.65688,Entire home/apt,246,3,4,2024-10-14,0.96,1,189,4,IT022118C2AQZ46ZPQ
1213519376289305155,Appartamento SMART - Forest,592912256,Daria,,Trentino,45.9513891,10.9007215,Entire home/apt,114,3,3,2024-11-03,0.65,2,54,3,IT022079C27SI8OBNQ
1213569531820052661,Condominio Garda by Interhome,131057288,Lea - Interhome Group,,Trentino,45.880063,10.853689,Entire home/apt,144,1,0,,,13,363,0,IT022153C2PZCKOGE6
1213719608390943632,Chalet Vich,101376254,Sergio,,Trentino,46.42132,11.6725,Entire home/apt,,1,2,2024-09-05,0.44,77,0,2,IT022250B4J97QT5HL
1213722831409730186,Appartamento view-lake,593530723,Arianna,,Trentino,46.145058770045885,10.964840854492198,Private room,180,4,0,,,1,343,0,IT022120C28MDHYCRU
1213769254688954902,Glam Haus: Natura-In,93579731,Simonetta,,Trentino,45.9125,11.1783,Entire home/apt,429,2,3,2024-10-27,0.73,3,292,3,IT022087B4K4WOKRBN
1213933856048009766,Chalet con vista panoramica,30133054,Katia,,Trentino,46.27753,10.65486,Entire home/apt,,2,0,,,2,263,0,IT022213C2OKC72ZPM
1214353827587855825,Flora's Home,593704871,Ines,,Trentino,46.05707586752209,10.75098615026245,Entire home/apt,84,2,1,2024-08-24,0.23,1,359,1,IT022247C2XQI74UAO
1214463435578710518,Galm Haus: Panoramic,93579731,Simonetta,,Trentino,45.9125,11.1783,Entire home/apt,400,2,0,,,3,351,0,IT022087B4LLOAJBCP
1214522233608370487,Valle del Vanoi Canal San Bovo,593762132,Elena,,Trentino,46.16209213797733,11.722087812164315,Entire home/apt,143,3,5,2024-12-29,1.07,1,174,5,IT022038C27YYOCHIR
1215686252504924509,Appartamento Carmen,373131407,Mirella,,Trentino,45.8940536,10.8483698,Entire home/apt,163,4,2,2024-12-28,0.44,1,364,2,IT022153C2LYORYIKO
1215872104519293011,Casa vacanza con vista sulla valle,38484223,Lorenzo,,Trentino,46.29062,11.57174,Entire home/apt,138,3,2,2024-12-15,2,2,146,2,IT022226C2MAEQ7W83
1215930822909418879,Baita nel paradiso alpino,30133054,Katia,,Trentino,46.27743345699728,10.653470651065046,Entire home/apt,,2,0,,,2,324,0,IT022213C2OKC72ZPM
1216067991370266771,"Appartamento Smart ""Botticelli """,87656713,Veronique,,Trentino,45.95152700195912,10.900711470667325,Entire home/apt,115,3,10,2024-12-29,2.08,1,334,10,IT022079B43IWQ5HRJ
1216320050246174703,Appartamento Maria,594256690,Cinzia,,Trentino,46.1549698,11.7329934,Entire home/apt,149,2,0,,,1,259,0,IT022038C2K6NU99WG
1216499335941487294,Trilo in residence sulle piste,2288867,Stefany,,Trentino,46.30343,10.80953,Entire home/apt,263,3,1,2024-12-27,1,1,6,1,IT022114B4PJXUKU5F
1216563292561917754,"Casa vacanza: ""Alba-Sunrise""",594312166,Gianna,,Trentino,45.92375599459147,10.901521195106504,Entire home/apt,108,1,11,2024-12-27,2.36,1,331,11,IT022006C2YGPX7TXU
1217216777132618371,Ferienzimmer (Stanza) in Fondo,416527123,Daniele,,Trentino,46.43964,11.13313,Entire home/apt,,1,1,2024-09-22,0.29,1,61,1,
1217289285986066524,Villa Maria 2° piano,473045599,Luigi,,Trentino,46.39884699057312,11.666680636475867,Entire home/apt,,1,0,,,3,0,0,IT022176C287UPH7CD
1217290808328862850,La novità é Nine Rooms Trento,4953260,Samantha,,"Trento, Trentino",46.073894,11.117786,Private room,213,1,0,,,14,313,0,IT022205C1EUYZ2CD2
1217308891249375253,Apartment super panoramic view Campiglio,594298436,Silvano,,Trentino,46.2436446,10.8392194,Entire home/apt,367,7,0,,,1,174,0,IT022143B4AYJWGGZZ
1217344398533193732,Casa Gilly 2,594543977,Rita,,"Trento, Trentino",46.0601776,11.134239,Entire home/apt,120,3,4,2024-12-16,0.94,1,112,4,IT022205C2Q8KH9V29
1217370112985545114,Baita incantata in Trentino,178952422,Tommaso,,Trentino,46.08187221495232,11.478594531983099,Entire home/apt,169,3,0,,,1,362,0,IT184356856445764
1217444691018983840,La casa di Ketty,555664095,Holidu,,Trentino,46.08055546137833,11.552963547866275,Entire home/apt,77,1,0,,,15,364,0,IT022015C2ZXZNSN9V
1217973133630223190,Casa del piccolo olivo,140194268,Luca,,Trentino,46.0674405,11.5228147,Entire home/apt,80,1,2,2024-08-17,0.43,1,312,2,IT022240C2VN4XXLNN
